tile,ngrdi_mean,ngrdi_std,ngrdi_max,vari_mean,vari_std,gli_mean,exg_mean,green_mean,red_mean,blue_mean,brightness
tile_0.png,0.21436500378819257,0.16667334026245495,0.9999997959184089,9095.17175530102,115272.22413559353,0.08152228138283041,19.462636363218262,64.19450557410525,48.093519757719584,60.83285502727264,57.70696011969916
tile_1.png,0.2037529819147319,0.1730125043520847,0.9999997674419144,7513.190014677734,104708.75645558165,0.08591563544931122,20.375955347369775,66.62043551146554,50.63858343221391,62.22633224334741,59.828450395675624
tile_10.png,0.28290445494443905,0.17900175465923654,0.9999997727273243,16352.748173954466,171350.08227614037,0.07914434096504133,20.47018129639339,63.21664229145396,41.28536498431708,64.67773830219745,56.3932485259895
tile_11.png,0.27592753770264633,0.17349944790229196,0.9999997619048185,15789.69194531388,162515.9689534984,0.08005363141899963,19.204709130126844,58.7053325376896,38.06183255608598,60.14412338916637,52.30376282764732
tile_12.png,0.2160649521594907,0.14645321369332714,0.9999997619048185,6224.630981817134,99779.8010762049,0.09280087996061458,23.20685391889033,70.10987713513066,50.30929626921273,66.70360408215826,62.37425916216722
tile_13.png,0.16161455919968087,0.14014428399339884,0.9999997872340878,4570.936060562896,86821.47249206578,0.08029671091058992,21.378054375120726,71.87050576266822,56.72444166965608,65.63851548055962,64.74448763762797
tile_14.png,0.22601628240152064,0.1624083286023057,0.99999979166671,8802.01304548066,127442.11029628875,0.09291779099645911,23.43226979221281,67.9856544974567,48.35664902913068,64.18239017356991,60.17489790005243
tile_15.png,0.2466819807701819,0.17618733295953098,0.99999979166671,16746.09890173902,165274.81368224564,0.03764247171461919,11.47361578685946,58.60972490502865,41.222550636055075,64.52328338714277,54.78518630940883
tile_16.png,0.274778314206274,0.17751602774029707,0.9999997826087429,23112.01208294694,196546.49313897043,0.025783759256445937,8.974412005482124,52.92001089985927,35.28489001260152,61.58071978163489,49.928540231365226
tile_17.png,0.2895186501892815,0.16597083282728387,0.99999979166671,26200.120306050412,216402.68472715426,0.04803922142820348,12.00668639679167,52.477321853987874,32.941891562497126,60.00606574868696,48.47509305505732
tile_18.png,0.22013643424335277,0.14661061926977667,0.999999803921607,8695.674409224755,125498.53275808727,0.07598456615048575,20.139708141321044,70.1919949271963,49.61496086168677,70.62932085138479,63.47875888008928
tile_19.png,0.25215888561503097,0.14266274753736322,0.9999998181818511,12189.705458791508,169767.25311112838,0.08127732892344182,21.986473941517886,71.43981541525244,46.80837001112982,74.08478687785718,64.11099076807982
tile_2.png,0.2564050568422483,0.156907785261213,0.9999997826087429,7831.337017642034,118215.34801411186,0.11356909504011498,26.487657519063255,66.65781972920519,44.972389897624105,61.85559204172301,57.8286005561841
tile_20.png,0.2601895111243093,0.15997380660541652,0.9999998245614342,11084.02151140956,161241.07310321913,0.09279060570597451,30.039345962452973,84.34651181507952,55.18259253382636,83.47108513387971,74.33339649426186
tile_21.png,0.29590437334435576,0.1874606360087956,0.9999998484848714,26635.261919195946,255192.97308850317,0.06521844589974317,19.77766402678514,71.86239881987177,46.11219484993148,77.83493876302694,65.26984414427673
tile_22.png,0.27901882896943475,0.1641837727748189,0.9999998529411981,15856.458318802006,217227.54965592048,0.09117432488317692,28.261164767239713,86.65493839509921,54.75947793353385,90.28923408942484,77.23455013935263
tile_23.png,0.29991522012949484,0.1656055314478932,0.9999998461538697,21197.744316078097,250056.668357697,0.08465817100539136,24.79860785341759,80.29480830964799,48.98919499710257,86.80181376877582,72.02860569184212
tile_24.png,0.2688223137525718,0.1494260598103189,0.9999998630137173,15173.808776004198,205753.60899956393,0.08346309454380042,25.730835333940416,84.09990663833624,53.5852503518309,88.88372759090115,75.52296152702276
tile_25.png,0.2568015355598839,0.1549218812858326,0.9999998275862366,12033.990422036382,187566.53487732884,0.08478365347580281,25.988813961937876,88.30989898084016,58.32004194376225,92.3109420559802,79.64696099352754
tile_26.png,0.29840433922441667,0.1691651780005896,0.9999998333333611,23909.2452199023,271313.7388076598,0.08111442796710262,25.571097781395736,83.25308691373014,51.178422647791976,89.75665339827258,74.7293876532649
tile_27.png,0.28482680239184077,0.19088102461352605,0.9999998214286032,25275.590430231587,239454.4728236586,0.043927852859024986,13.30493575061858,67.86252138579982,45.13008269175934,77.29002432922174,63.427542802260305
tile_28.png,0.30364768168868284,0.183250382733328,0.9999998412698664,25778.341579344302,253739.09304484882,0.06421765085913352,21.084976475620188,73.30648748585777,45.96270201532419,79.56529648077118,66.27816199398438
tile_29.png,0.37424447306411607,0.1737451431383451,0.9999998360656006,49416.782432327294,353925.2521685071,0.037624215005488924,11.882922633994683,57.77474095587627,30.652020728128996,73.01453854962885,53.81376674454471
tile_3.png,0.20191647099894497,0.16585041632611594,0.9999998113207903,7781.038180433276,118781.22938806965,0.08122603861486101,22.629351205423255,76.05661580065676,56.99641029001904,72.48747010587121,68.51349873218233
tile_30.png,0.32708234887370324,0.16423072822345589,0.9999998437500244,30776.820272418485,295082.95461811795,0.07267786878463044,21.660282315553225,73.64845596824783,42.42198115290157,83.21464846804088,66.42836186306343
tile_31.png,0.28917525817401946,0.1608704552219894,0.9999998360656006,19826.96367758251,238472.86384805795,0.08106846063925775,24.15609357322222,80.78853433685624,50.09101474470414,87.32996035578613,72.73650314578217
tile_32.png,0.27765799910291866,0.15674248318665124,0.9999998484848714,17994.86705352048,227416.36544985097,0.08608549712820145,27.304786624906868,86.5491966527774,54.875503946025,90.91810273462292,77.44760111114176
tile_33.png,0.294322157204242,0.17017764077009145,0.9999998437500244,20233.16071189664,253784.32810740586,0.07725342886103298,23.81509044123734,81.88712632339009,50.314869684593944,89.64429252094888,73.94876284297764
